no;id;nearc2;nearc4;educ;age;fatheduc;motheduc;weight;momdad14;sinmom14;step14;reg661;reg662;reg663;reg664;reg665;reg666;reg667;reg668;reg669;south66;black;smsa;south;smsa66;wage;enroll;KWW;IQ;married;libcrd14;exper;lwage;expersq;region
16;17;1;1;14;24;15;12;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;300;0;36;NA;6;1;4;5.703782558;16;662
17;19;1;1;12;34;12;8;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;346;0;40;93;1;1;16;5.846438885;256;662
18;20;1;1;14;29;NA;12;496635;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;658;0;35;100;1;1;9;6.489204884;81;662
19;22;1;1;10;26;8;8;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;575;0;24;91;6;0;10;6.354370117;100;662
20;25;1;1;12;32;8;8;355491;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;649;0;35;88;1;0;14;6.475432873;196;662
21;26;1;1;18;32;12;13;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;944;0;43;NA;1;1;8;6.850126266;64;661
22;29;1;1;18;34;NA;8;408301;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;614;0;50;114;1;1;10;6.419994831;100;661
23;30;1;1;15;32;5;14;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;726;0;37;111;1;1;11;6.587550163;121;661
24;31;0;1;12;28;14;12;380166;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;604;0;44;NA;1;1;10;6.40357399;100;661
25;32;0;1;12;32;11;12;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;693;0;44;95;1;1;14;6.54102993;196;661
26;35;0;1;18;34;14;13;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1400;0;44;132;1;1;10;7.244227409;100;661
27;36;0;1;12;26;7;12;367772;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;300;0;27;NA;6;1;8;5.703782558;64;661
28;37;0;1;18;32;16;16;355491;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1800;0;38;109;5;1;8;7.495542049;64;662
29;38;0;1;12;25;11;12;357519;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;413;0;43;108;1;1;7;6.023447514;49;661
30;39;0;1;14;29;NA;16;496635;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;632;0;45;102;1;1;9;6.448889256;81;661
31;47;1;1;12;25;12;12;90339;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;208;0;30;106;1;1;7;5.337538242;49;662
32;48;1;1;12;25;NA;11;102031;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;457;0;40;104;6;1;7;6.12468338;49;662
33;53;1;1;16;24;10;10;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;824;0;24;119;1;1;2;6.714170456;4;662
34;54;1;1;18;34;NA;12;408301;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;577;0;47;122;1;1;10;6.357842445;100;662
35;55;1;1;11;28;6;10;380166;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;255;0;32;90;1;1;11;5.54126358;121;662
36;62;1;1;16;30;12;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;962;0;47;118;1;1;8;6.869014263;64;662
37;63;1;1;10;31;8;6;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;944;0;37;105;1;0;15;6.850126266;225;662
38;64;1;1;18;34;8;11;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1146;1;43;115;1;1;10;7.044033051;100;662
39;77;1;1;6;27;2;6;104596;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;324;0;16;NA;1;1;15;5.780743599;225;662
40;79;1;1;11;24;6;12;102031;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;235;0;27;65;5;1;7;5.459585667;49;662
41;80;1;1;12;34;11;10;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1000;0;45;120;1;0;16;6.907755375;256;662
42;81;1;1;9;26;NA;12;422407;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;481;0;31;86;4;1;11;6.175867081;121;662
43;82;1;1;15;32;10;12;89826;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;624;0;39;109;1;1;11;6.436150551;121;662
44;83;1;1;11;34;8;10;89826;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;650;0;36;72;1;0;17;6.47697258;289;662
45;87;1;1;12;24;NA;10;102031;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;344;0;31;NA;6;0;6;5.840641499;36;662
46;90;1;1;16;24;12;10;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;380;0;NA;NA;6;0;2;5.940171242;4;662
47;91;1;1;12;24;12;11;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;353;0;25;101;1;1;6;5.866467953;36;662
48;92;1;1;13;25;NA;12;369567;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;659;0;29;105;6;1;6;6.49072361;36;662
49;93;1;1;17;28;10;10;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;621;1;48;136;1;1;5;6.431331158;25;662
50;97;1;1;12;25;10;11;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;440;0;40;101;1;1;7;6.086774826;49;662
51;98;1;1;12;26;12;10;104596;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;738;0;34;96;6;1;8;6.603943825;64;662
52;102;1;1;11;31;5;5;158413;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;280;0;36;NA;1;0;14;5.634789467;196;662
53;107;1;1;10;24;5;NA;369567;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;434;0;34;NA;1;1;8;6.0730443;64;662
54;108;1;1;12;27;NA;8;380166;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;705;0;34;101;1;1;9;6.558197975;81;662
55;110;1;1;12;27;10;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;425;0;32;91;1;1;9;6.052089214;81;662
56;111;1;1;12;24;NA;4;369567;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;571;0;35;NA;1;1;6;6.347389221;36;662
57;112;1;1;16;30;12;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;538;0;52;115;6;1;8;6.287858486;64;662
58;115;1;1;16;32;12;12;408301;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;740;0;49;113;1;1;10;6.606650352;100;662
59;116;1;1;13;32;10;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;673;1;43;123;1;1;13;6.511745453;169;662
60;119;1;1;12;34;10;10;89826;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;769;0;36;95;1;1;16;6.645091057;256;662
61;121;1;1;12;24;10;10;90339;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;592;0;26;102;1;1;6;6.383506775;36;662
62;125;1;1;9;24;12;11;102031;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;213;0;15;NA;6;1;9;5.361292362;81;662
63;127;1;1;16;34;12;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1563;0;50;145;1;1;12;7.354362488;144;662
64;129;1;1;16;28;11;11;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;774;0;35;114;1;1;6;6.651571751;36;662
65;131;1;1;12;26;8;9;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;600;0;35;113;1;0;8;6.396929741;64;662
66;133;1;1;18;24;16;16;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;693;0;24;NA;6;1;0;6.54102993;0;662
67;135;1;1;13;31;8;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;570;0;40;93;5;1;12;6.345636368;144;662
68;136;1;1;14;28;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;433;0;38;NA;5;1;8;6.070737839;64;662
69;137;1;1;15;28;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;538;0;37;119;2;0;7;6.287858486;49;662
70;138;1;1;12;25;12;9;369567;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;627;0;35;108;6;1;7;6.440946579;49;662
71;139;1;1;8;31;12;11;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;481;0;35;NA;1;1;17;6.175867081;289;662
72;141;1;1;12;26;6;11;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;545;0;26;72;1;1;8;6.300786018;64;662
73;142;1;1;12;25;12;9;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;576;0;34;86;1;1;7;6.356107712;49;662
74;144;1;1;16;25;14;12;90339;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;700;0;42;123;1;1;3;6.551080227;9;662
75;147;1;1;16;28;12;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;788;0;38;103;1;1;6;6.669497967;36;662
76;148;1;1;17;27;12;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1012;0;42;101;1;1;4;6.919683933;16;662
77;149;1;1;12;24;12;10;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;758;0;30;NA;1;1;6;6.630683422;36;662
78;150;1;1;14;29;12;16;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;601;1;41;105;6;1;9;6.398594856;81;662
79;151;1;1;12;24;NA;12;357519;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;283;0;34;NA;6;1;6;5.645446777;36;662
80;154;1;1;12;24;12;12;397244;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;250;0;29;NA;6;1;6;5.52146101;36;662
81;156;1;1;12;26;10;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;0;33;95;1;1;8;6.214608192;64;662
82;157;1;1;11;31;8;6;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;550;0;41;98;1;1;14;6.309918404;196;662
83;158;1;1;12;25;8;6;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1143;0;27;NA;1;1;7;7.041411877;49;662
84;159;1;1;18;31;8;8;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;810;0;39;115;4;0;7;6.697034359;49;662
85;164;1;1;12;28;NA;9;104596;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;313;0;20;60;6;1;10;5.746203423;100;662
86;166;1;1;18;25;NA;4;369567;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;731;0;36;135;1;1;1;6.59441328;1;662
87;168;1;1;16;25;9;10;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;1;35;132;1;1;3;6.43775177;9;662
88;169;1;1;14;24;16;12;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;588;1;33;106;1;1;4;6.376727104;16;662
89;170;1;1;14;26;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;375;1;28;113;1;1;6;5.926926136;36;662
90;173;1;1;16;29;14;11;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;817;0;43;102;6;1;7;6.705638885;49;662
91;175;1;1;14;30;15;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;865;0;32;91;1;1;10;6.762729645;100;662
92;176;1;1;15;28;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;350;0;30;104;1;1;7;5.857933044;49;662
93;177;1;1;13;24;12;12;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;202;0;22;NA;1;1;5;5.308267593;25;662
94;178;1;1;13;32;16;16;367470;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;505;0;43;97;1;1;13;6.224558353;169;662
95;179;1;1;17;30;12;13;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;816;0;41;125;1;1;7;6.704414368;49;662
96;181;1;1;18;26;14;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;0;41;123;6;1;2;6.43775177;4;662
97;182;1;1;18;32;16;16;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;769;0;35;128;6;1;8;6.645091057;64;662
98;183;1;1;17;27;16;17;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;1;38;133;6;1;4;6.214608192;16;662
99;188;1;1;17;27;12;8;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;619;1;32;114;1;1;4;6.428105354;16;662
100;192;1;1;12;30;NA;8;480445;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;650;0;40;103;1;1;12;6.47697258;144;662
101;194;0;1;18;28;10;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;769;0;36;130;1;1;4;6.645091057;16;662
102;195;0;1;12;26;10;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;512;0;33;97;1;1;8;6.238324642;64;662
103;196;0;1;18;31;12;13;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;0;46;132;1;1;7;6.43775177;49;662
104;197;0;1;14;31;12;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1111;0;41;98;1;1;11;7.013015747;121;662
105;198;0;1;13;28;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;721;0;41;108;1;1;9;6.580639362;81;662
106;199;0;1;14;32;13;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1154;0;44;107;1;1;12;7.050989628;144;662
107;201;0;1;18;34;18;18;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;827;0;40;129;6;1;10;6.717804909;100;662
108;204;0;1;16;34;14;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;923;0;56;NA;1;1;12;6.827629089;144;662
109;205;0;1;17;28;14;17;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1076;0;42;132;1;1;5;6.981005669;25;662
110;209;0;1;12;33;NA;8;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;0;37;101;1;1;15;6.43775177;225;662
111;210;0;1;13;27;NA;8;380166;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;460;0;24;92;1;1;8;6.13122654;64;662
112;213;0;1;14;24;8;12;102031;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;900;0;39;108;6;1;4;6.802394867;16;662
113;214;0;1;18;29;8;9;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;682;0;NA;132;1;1;5;6.525029659;25;662
114;217;0;1;12;24;10;12;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;411;0;20;NA;1;1;6;6.018593311;36;662
115;218;0;1;13;27;12;15;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;0;35;106;1;0;8;6.43775177;64;662
116;222;0;1;18;32;12;12;355491;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1005;0;46;123;1;1;8;6.912742615;64;662
117;225;0;1;11;24;9;11;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;725;0;24;109;1;1;7;6.586171627;49;662
118;226;0;1;15;27;8;11;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;750;0;35;103;1;1;6;6.620073318;36;662
119;228;0;1;14;29;NA;8;533828;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;529;0;33;108;1;0;9;6.270988464;81;662
120;229;0;1;17;29;8;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;972;0;47;122;1;1;6;6.879355907;36;662
121;232;0;1;12;26;12;12;380166;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;472;0;36;109;1;1;8;6.156979084;64;662
122;233;0;1;12;24;12;12;369567;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;325;0;35;102;6;1;6;5.783825397;36;662
123;234;0;1;12;34;NA;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;875;0;44;109;1;1;16;6.774223804;256;662
124;237;0;1;13;34;9;10;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;625;0;40;100;1;1;15;6.43775177;225;662
125;239;0;1;12;26;8;10;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;337;0;29;93;1;1;8;5.820083141;64;662
126;240;0;1;16;27;5;5;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;481;0;37;115;1;1;5;6.175867081;25;662
127;241;0;1;9;29;5;NA;551817;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;650;0;NA;NA;6;0;14;6.47697258;196;662
128;242;0;1;16;25;5;4;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;383;0;39;NA;6;0;3;5.948034763;9;662
129;244;0;1;18;30;15;14;533828;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;962;0;50;125;1;1;6;6.869014263;36;662
130;245;0;1;16;29;13;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;615;0;31;106;6;1;7;6.421622276;49;662
131;247;0;1;14;28;12;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;702;0;43;113;1;1;8;6.55393362;64;662
132;249;0;1;14;31;NA;12;551817;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;635;0;41;122;6;1;11;6.453625202;121;662
133;250;0;1;12;28;10;11;422407;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;200;0;35;NA;4;0;10;5.298317432;100;662
134;252;0;1;12;27;10;10;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;817;0;43;116;1;1;9;6.705638885;81;662
135;253;0;1;14;26;NA;12;380166;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;577;0;39;116;1;1;6;6.357842445;36;662
136;254;0;1;17;26;12;12;760332;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;466;0;34;105;1;1;3;6.144185543;9;662
137;255;0;1;16;29;NA;12;993271;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;924;0;39;NA;1;1;7;6.828711987;49;662
138;256;0;1;16;31;12;12;993271;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;793;1;38;112;1;0;9;6.675823212;81;662
139;257;0;1;14;28;12;12;760332;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;635;0;32;113;1;1;8;6.453625202;64;662
140;259;0;1;12;25;NA;NA;369567;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;570;0;22;NA;6;1;7;6.345636368;49;662
141;260;0;1;16;29;12;12;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;705;0;37;94;1;1;7;6.558197975;49;662
142;261;0;1;14;28;12;9;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;635;0;40;103;1;1;8;6.453625202;64;662
143;263;0;1;12;30;NA;12;496635;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;694;0;36;102;1;0;12;6.542471886;144;662
144;264;0;1;13;34;10;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;615;0;47;109;1;1;15;6.421622276;225;662
145;265;0;1;16;26;15;10;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;462;0;34;130;6;1;4;6.135564804;16;662
146;266;0;1;12;34;12;12;408301;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;865;0;45;105;1;1;16;6.762729645;256;662
147;267;0;1;18;33;12;12;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;737;0;46;134;1;1;9;6.6025877;81;662
148;268;0;1;12;25;8;14;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1400;0;39;NA;1;1;7;7.244227409;49;662
149;270;0;1;12;31;NA;7;496635;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;808;0;43;105;1;0;13;6.694561958;169;662
150;272;0;1;16;26;11;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;654;0;36;104;1;0;4;6.483107567;16;662
151;273;0;1;12;25;NA;12;369567;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;300;0;35;112;1;1;7;5.703782558;49;662
152;275;0;1;16;30;8;10;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;577;0;37;115;4;1;8;6.357842445;64;662
153;279;0;1;16;24;10;12;410630;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;265;0;44;NA;6;1;2;5.579730034;4;662
154;280;0;1;18;31;8;8;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;594;0;33;117;1;1;7;6.386879444;49;662
155;282;0;1;17;26;12;8;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;325;0;29;114;1;1;3;5.783825397;9;662
156;283;0;1;16;24;12;8;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;385;1;37;118;6;1;2;5.953243256;4;662
157;284;0;1;18;25;12;12;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1000;0;32;107;1;1;1;6.907755375;1;662
158;285;0;1;18;28;8;11;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;465;0;49;120;6;1;4;6.142037392;16;662
159;286;0;1;16;28;16;18;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;440;0;43;131;6;1;6;6.086774826;36;662
160;287;0;1;16;27;16;17;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;625;0;40;124;6;1;5;6.43775177;25;662
161;288;0;1;17;27;11;12;92929;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;285;0;36;121;1;1;4;5.652489185;16;662
162;290;0;1;14;27;10;12;92929;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;650;0;35;110;1;1;7;6.47697258;49;662
163;291;0;1;13;25;10;12;90339;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;808;0;34;103;1;1;6;6.694561958;36;662
164;292;0;1;12;24;10;12;90339;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;0;26;NA;1;1;6;6.214608192;36;662
165;293;0;1;16;26;14;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;831;0;45;115;1;1;4;6.722630024;16;662
166;295;0;1;12;31;8;6;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;0;33;96;1;1;13;6.214608192;169;662
167;297;0;1;17;32;12;12;355491;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;693;0;48;123;1;0;9;6.54102993;81;662
168;298;0;1;12;27;12;10;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1100;0;37;101;1;1;9;7.003065586;81;662
169;300;0;1;12;25;8;12;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;763;0;34;98;1;1;7;6.637258053;49;662
170;302;1;1;12;27;8;9;422407;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;795;0;28;NA;1;1;9;6.678342342;81;661
171;304;1;1;16;25;7;8;369567;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;333;0;31;108;6;1;3;5.808142662;9;661
172;306;1;1;18;30;16;12;551817;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;409;0;39;138;1;1;6;6.013715267;36;661
173;307;1;1;16;27;NA;12;380166;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;865;0;37;121;1;1;5;6.762729645;25;661
174;308;1;1;12;31;8;12;496635;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;888;0;34;96;1;1;13;6.788971901;169;661
175;309;1;1;12;34;NA;12;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;673;0;47;89;1;1;16;6.511745453;256;661
176;312;1;1;12;33;7;NA;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;700;0;43;109;6;1;15;6.551080227;225;661
177;313;1;1;18;33;16;16;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;250;0;44;133;6;1;9;5.52146101;81;661
